0,0
1,736.88
2,736.88
3,1453.88
4,2862.51
9,3476.38
10,4098.98
11,5174.18
12,6124.1
13,7260.74
14,8244.15
15,9179.68
16,9248.75
17,10176.51
18,11535.63
19,12246.65
20,12818.548808594
21,13715.068808594
22,14813.928808594
23,15211.378808594
24,15308.698808594
25,16020.598808594
26,16395.378808594
27,17025.648808594
28,17137.088808594
29,17390.508808594
30,17762.000527344
31,18184.870527344
32,18717.970527344
33,18790.09875
34,19215.91875
35,19547.089804688
36,20098.711572266
37,20663.961572266
38,21834.272246094
